"placette","fascine","type","espece","ID","numero","longueur.touffe","largeur.touffe","hauteur.max.feuille","nombre.reprises","inflorescence","date","heure","operateur","remarques","numero_suivi","annee"
2,4,"helophyte","Eriophorum angustifolium","EA15",6,4,3,42,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,4,"helophyte","Eriophorum angustifolium","EA17",8,3,3,39.5,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,4,"helophyte","Eriophorum angustifolium","EA18",9,2.5,2,38,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
3,5,"helophyte","Carex nigra","CN19",1,4,2.5,21,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,5,"helophyte","Carex nigra","CN20",2,4,2.5,22.5,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,5,"helophyte","Carex nigra","CN21",3,2.5,3,22,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,5,"helophyte","Carex nigra","CN22",4,3,3.5,24.5,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,5,"helophyte","Carex nigra","CN23",5,3,2,18.5,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,5,"helophyte","Carex nigra","CN24",6,3.5,3,32,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,5,"helophyte","Carex nigra","CN25",7,2.5,2.5,18,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,5,"helophyte","Carex nigra","CN26",8,2,1.5,16,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,5,"helophyte","Carex nigra","CN27",9,5,3.5,22,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,6,"helophyte","Carex nigra","CN28",1,4,2,17.5,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,6,"helophyte","Carex nigra","CN29",2,3.5,1.5,17,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,6,"helophyte","Carex nigra","CN30",3,2.5,1,17,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,6,"helophyte","Carex nigra","CN31",4,1.5,1.5,16,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,6,"helophyte","Carex nigra","CN33",6,3,1.5,19.5,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
3,6,"helophyte","Carex nigra","CN34",7,2.5,2,20.5,NA,NA,2023-09-20,"14:00","Stephanie",NA,1,"2023"
4,7,"helophyte","Eriophorum angustifolium","EA20",2,2,1.5,35,NA,NA,2023-09-20,"14:30","Stephanie",NA,1,"2023"
4,7,"helophyte","Eriophorum angustifolium","EA21",3,3,2.5,41,NA,NA,2023-09-20,"14:30","Stephanie",NA,1,"2023"
4,7,"helophyte","Eriophorum angustifolium","EA25",7,3.5,2,30.5,NA,NA,2023-09-20,"14:30","Stephanie",NA,1,"2023"
4,7,"helophyte","Eriophorum angustifolium","EA27",9,2,1,32.5,NA,NA,2023-09-20,"14:30","Stephanie",NA,1,"2023"
4,8,"helophyte","Eriophorum angustifolium","EA29",2,3,3,31.5,NA,NA,2023-09-20,"14:30","Stephanie",NA,1,"2023"
4,8,"helophyte","Eriophorum angustifolium","EA30",3,4,2.5,31,NA,NA,2023-09-20,"14:30","Stephanie",NA,1,"2023"
4,8,"helophyte","Eriophorum angustifolium","EA32",5,3,1,33.5,NA,NA,2023-09-20,"14:30","Stephanie",NA,1,"2023"
4,8,"helophyte","Eriophorum angustifolium","EA33",6,3,2,43,NA,NA,2023-09-20,"14:30","Stephanie",NA,1,"2023"
4,8,"helophyte","Eriophorum angustifolium","EA35",8,3,3,47,NA,NA,2023-09-20,"14:30","Stephanie",NA,1,"2023"
4,8,"helophyte","Eriophorum angustifolium","EA36",9,2.5,2,35,NA,NA,2023-09-20,"14:30","Stephanie",NA,1,"2023"
5,9,"helophyte","Carex nigra","CN37",1,3.5,1.5,17,NA,NA,2023-09-20,"15:00","Benjamin",NA,1,"2023"
5,9,"helophyte","Carex nigra","CN38",2,3,2.5,26,NA,NA,2023-09-20,"15:00","Benjamin",NA,1,"2023"
5,9,"helophyte","Carex nigra","CN39",3,3,2.5,20.5,NA,NA,2023-09-20,"15:00","Benjamin",NA,1,"2023"
5,9,"helophyte","Carex nigra","CN40",4,3,3,15,NA,NA,2023-09-20,"15:00","Benjamin",NA,1,"2023"
5,9,"helophyte","Carex nigra","CN41",5,4,3,18,NA,NA,2023-09-20,"15:00","Benjamin",NA,1,"2023"
5,9,"helophyte","Carex nigra","CN42",6,3,4,17,NA,NA,2023-09-20,"15:00","Benjamin",NA,1,"2023"
5,9,"helophyte","Carex nigra","CN43",7,4.5,4,24,NA,NA,2023-09-20,"15:00","Benjamin",NA,1,"2023"
5,9,"helophyte","Carex nigra","CN44",8,3,2,21,NA,NA,2023-09-20,"15:00","Benjamin",NA,1,"2023"
5,10,"helophyte","Carex nigra","CN46",1,4,3,20,NA,NA,2023-09-20,"15:00","Stephanie",NA,1,"2023"
5,10,"helophyte","Carex nigra","CN47",2,6,4.5,21,NA,NA,2023-09-20,"15:00","Stephanie",NA,1,"2023"
5,10,"helophyte","Carex nigra","CN48",3,4,3,19.5,NA,NA,2023-09-20,"15:00","Stephanie",NA,1,"2023"
5,10,"helophyte","Carex nigra","CN49",4,4,3.5,21,NA,NA,2023-09-20,"15:00","Stephanie",NA,1,"2023"
5,10,"helophyte","Carex nigra","CN51",6,3.5,2,21,NA,NA,2023-09-20,"15:00","Stephanie",NA,1,"2023"
5,10,"helophyte","Carex nigra","CN52",7,2.5,1.5,22,NA,NA,2023-09-20,"15:00","Stephanie",NA,1,"2023"
5,10,"helophyte","Carex nigra","CN53",8,4,3,30,NA,NA,2023-09-20,"15:00","Stephanie",NA,1,"2023"
5,10,"helophyte","Carex nigra","CN54",9,3,2,19,NA,NA,2023-09-20,"15:00","Stephanie",NA,1,"2023"
6,11,"helophyte","Eriophorum angustifolium","EA38",2,5,0.5,20,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,11,"helophyte","Eriophorum angustifolium","EA40",4,2.5,1.5,39,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,11,"helophyte","Eriophorum angustifolium","EA43",7,4.5,4,44,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,11,"helophyte","Eriophorum angustifolium","EA44",8,3,1.5,36,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,11,"helophyte","Eriophorum angustifolium","EA45",9,2.5,2,56,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,12,"helophyte","Eriophorum angustifolium","EA46",1,3,1,28,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,12,"helophyte","Eriophorum angustifolium","EA47",2,5.5,2.5,39,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,12,"helophyte","Eriophorum angustifolium","EA48",3,3,2.5,30,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,12,"helophyte","Eriophorum angustifolium","EA50",5,2.5,2,25,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,12,"helophyte","Eriophorum angustifolium","EA51",6,4,3,23.5,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,12,"helophyte","Eriophorum angustifolium","EA53",8,2,1.5,26,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
6,12,"helophyte","Eriophorum angustifolium","EA54",9,3.5,2.5,36,NA,NA,2023-09-20,"14:00","Alexis",NA,1,"2023"
7,13,"helophyte","Carex nigra","CN55",1,4,2.5,17.5,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,13,"helophyte","Carex nigra","CN56",2,2,2.5,18,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,13,"helophyte","Carex nigra","CN57",3,3,3,19,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,13,"helophyte","Carex nigra","CN58",4,2,2,15,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,13,"helophyte","Carex nigra","CN59",5,4,3,20,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,13,"helophyte","Carex nigra","CN60",6,4,3,15,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,13,"helophyte","Carex nigra","CN61",7,4.5,2.5,18.5,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,13,"helophyte","Carex nigra","CN62",8,5.5,4,21,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,13,"helophyte","Carex nigra","CN63",9,3,2,16,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,14,"helophyte","Carex nigra","CN64",1,3.5,3,20,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,14,"helophyte","Carex nigra","CN65",2,4,2,18,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,14,"helophyte","Carex nigra","CN66",3,3,2,23,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,14,"helophyte","Carex nigra","CN67",4,3.5,1.5,18,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,14,"helophyte","Carex nigra","CN68",5,3,1.5,16,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,14,"helophyte","Carex nigra","CN69",6,4,3.5,18,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,14,"helophyte","Carex nigra","CN70",7,4,3,18.5,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
7,14,"helophyte","Carex nigra","CN71",8,3.5,2,15,NA,NA,2023-09-20,"15:30","Benjamin",NA,1,"2023"
8,15,"helophyte","Eriophorum angustifolium","EA55",1,3.5,2,35,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,15,"helophyte","Eriophorum angustifolium","EA56",2,2.5,1,33,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,15,"helophyte","Eriophorum angustifolium","EA57",3,5,3,47,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,15,"helophyte","Eriophorum angustifolium","EA60",6,2,1,40,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,15,"helophyte","Eriophorum angustifolium","EA61",7,2.5,2,47,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,15,"helophyte","Eriophorum angustifolium","EA62",8,3,2,40.5,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,15,"helophyte","Eriophorum angustifolium","EA63",9,2.5,2,45,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,16,"helophyte","Eriophorum angustifolium","EA64",1,4,2.5,45,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,16,"helophyte","Eriophorum angustifolium","EA65",2,4,3,35,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,16,"helophyte","Eriophorum angustifolium","EA66",3,3,2,32,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,16,"helophyte","Eriophorum angustifolium","EA67",4,3.5,2,40,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,16,"helophyte","Eriophorum angustifolium","EA68",5,4,3,40.5,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,16,"helophyte","Eriophorum angustifolium","EA69",6,2.5,2,35,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,16,"helophyte","Eriophorum angustifolium","EA70",7,3,2.5,42,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,16,"helophyte","Eriophorum angustifolium","EA71",8,2,2.5,36,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
8,16,"helophyte","Eriophorum angustifolium","EA72",9,3.5,2,42,NA,NA,2023-09-20,"14:30","Alexis",NA,1,"2023"
9,17,"helophyte","Carex nigra","CN73",1,4.5,3.5,23,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,17,"helophyte","Carex nigra","CN74",2,2.5,2,26,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,17,"helophyte","Carex nigra","CN75",3,3,3.5,20,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,17,"helophyte","Carex nigra","CN76",4,3,2.5,25.5,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,17,"helophyte","Carex nigra","CN77",5,5,3.5,24,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,17,"helophyte","Carex nigra","CN78",6,3.5,3,21,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,17,"helophyte","Carex nigra","CN81",9,3,2.5,28,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,18,"helophyte","Carex nigra","CN82",1,4,2.5,22,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,18,"helophyte","Carex nigra","CN83",2,3,1,19,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,18,"helophyte","Carex nigra","CN84",3,5,3.5,22,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,18,"helophyte","Carex nigra","CN86",5,5,3,28,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,18,"helophyte","Carex nigra","CN87",6,3.5,2,25,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,18,"helophyte","Carex nigra","CN88",7,3,2.5,19,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,18,"helophyte","Carex nigra","CN89",8,3,2,23.5,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
9,18,"helophyte","Carex nigra","CN90",9,3.5,2,17,NA,NA,2023-09-20,"15:30","Stephanie",NA,1,"2023"
10,19,"helophyte","Eriophorum angustifolium","EA73",1,4,2.5,41,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,19,"helophyte","Eriophorum angustifolium","EA74",2,2.5,0.5,25,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,19,"helophyte","Eriophorum angustifolium","EA75",3,3.5,1.5,43,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,19,"helophyte","Eriophorum angustifolium","EA76",4,3,2.5,35,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,19,"helophyte","Eriophorum angustifolium","EA77",5,3.5,2,29,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,19,"helophyte","Eriophorum angustifolium","EA78",6,2,1.5,15,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,19,"helophyte","Eriophorum angustifolium","EA79",7,4,3,34,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,19,"helophyte","Eriophorum angustifolium","EA80",8,3,2,32,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,19,"helophyte","Eriophorum angustifolium","EA81",9,2.5,1,19,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,20,"helophyte","Eriophorum angustifolium","EA82",1,2,1,31,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,20,"helophyte","Eriophorum angustifolium","EA83",2,4,2.5,24,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,20,"helophyte","Eriophorum angustifolium","EA84",3,3.5,2,24,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,20,"helophyte","Eriophorum angustifolium","EA85",4,4.5,3,56,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,20,"helophyte","Eriophorum angustifolium","EA87",6,2.5,2,42,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,20,"helophyte","Eriophorum angustifolium","EA88",7,2.5,1,32.5,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
10,20,"helophyte","Eriophorum angustifolium","EA89",8,3.5,2.5,35,NA,NA,2023-09-20,"16:00","Stephanie + Alexis",NA,1,"2023"
11,21,"helophyte","Carex nigra","CN91",1,4,3,20,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,21,"helophyte","Carex nigra","CN92",2,2.5,2,16,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,21,"helophyte","Carex nigra","CN95",5,4,3,18,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,21,"helophyte","Carex nigra","CN96",6,3.5,2,26,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,21,"helophyte","Carex nigra","CN97",7,3,2,17,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,21,"helophyte","Carex nigra","CN98",8,2,2,23,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,21,"helophyte","Carex nigra","CN99",9,3,2,26,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,22,"helophyte","Carex nigra","CN100",1,3,2.5,34,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,22,"helophyte","Carex nigra","CN102",3,3,1.5,20,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,22,"helophyte","Carex nigra","CN103",4,2,1,27,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,22,"helophyte","Carex nigra","CN104",5,2.5,2,14,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,22,"helophyte","Carex nigra","CN105",6,2.5,2,20,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,22,"helophyte","Carex nigra","CN106",7,2.5,2,18,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,22,"helophyte","Carex nigra","CN107",8,2,2,14,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
11,22,"helophyte","Carex nigra","CN108",9,2,2,18,NA,NA,2023-09-20,"16:00","Benjamin",NA,1,"2023"
12,23,"helophyte","Eriophorum angustifolium","EA92",2,2.5,1.5,29,NA,NA,2023-09-20,"16:30","Benjamin",NA,1,"2023"
12,23,"helophyte","Eriophorum angustifolium","EA93",3,1,0.5,26,NA,NA,2023-09-20,"16:30","Benjamin",NA,1,"2023"
12,23,"helophyte","Eriophorum angustifolium","EA95",5,2,1,21,NA,NA,2023-09-20,"16:30","Benjamin",NA,1,"2023"
12,23,"helophyte","Eriophorum angustifolium","EA96",6,2,2,26,NA,NA,2023-09-20,"16:30","Benjamin",NA,1,"2023"
12,23,"helophyte","Eriophorum angustifolium","EA97",7,3.5,2,40,NA,NA,2023-09-20,"16:30","Benjamin",NA,1,"2023"
12,23,"helophyte","Eriophorum angustifolium","EA99",9,2,2,41,NA,NA,2023-09-20,"16:30","Benjamin",NA,1,"2023"
12,24,"helophyte","Eriophorum angustifolium","EA101",2,3,1,26,NA,NA,2023-09-20,"16:30","Benjamin",NA,1,"2023"
12,24,"helophyte","Eriophorum angustifolium","EA102",3,3,2,28.5,NA,NA,2023-09-20,"16:30","Benjamin",NA,1,"2023"
12,24,"helophyte","Eriophorum angustifolium","EA106",7,4.5,3.5,27,NA,NA,2023-09-20,"16:30","Benjamin",NA,1,"2023"
12,24,"helophyte","Eriophorum angustifolium","EA108",9,4.5,2,40,NA,NA,2023-09-20,"16:30","Benjamin",NA,1,"2023"
13,25,"helophyte","Carex nigra","CN109",1,4.5,3,20,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,25,"helophyte","Carex nigra","CN110",2,5,4.5,19,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,25,"helophyte","Carex nigra","CN111",3,3,2,23,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,25,"helophyte","Carex nigra","CN112",4,2.5,2.5,22,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,25,"helophyte","Carex nigra","CN113",5,4,3,35,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,25,"helophyte","Carex nigra","CN114",6,4,3,33,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,25,"helophyte","Carex nigra","CN115",7,4.5,3,32,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,25,"helophyte","Carex nigra","CN116",8,4,3.5,30,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,25,"helophyte","Carex nigra","CN117",9,2,2,20,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,26,"helophyte","Carex nigra","CN119",2,5,3,18.5,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,26,"helophyte","Carex nigra","CN120",3,3,1.5,19,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,26,"helophyte","Carex nigra","CN121",4,2.5,2,16,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,26,"helophyte","Carex nigra","CN124",7,2.5,2,21,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,26,"helophyte","Carex nigra","CN125",8,3,2,18,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
13,26,"helophyte","Carex nigra","CN126",9,5,2.5,19,NA,NA,2023-09-20,"16:00","Florent",NA,1,"2023"
14,27,"helophyte","Eriophorum angustifolium","EA109",1,4,3,40,NA,NA,2023-09-20,"16:30","Alexis",NA,1,"2023"
14,27,"helophyte","Eriophorum angustifolium","EA110",2,4,2.5,31,NA,NA,2023-09-20,"16:30","Alexis",NA,1,"2023"
14,27,"helophyte","Eriophorum angustifolium","EA112",4,3.5,2.5,26,NA,NA,2023-09-20,"16:30","Alexis",NA,1,"2023"
14,27,"helophyte","Eriophorum angustifolium","EA114",6,3,2,32,NA,NA,2023-09-20,"16:30","Alexis",NA,1,"2023"
14,27,"helophyte","Eriophorum angustifolium","EA116",8,4,3.5,43.5,NA,NA,2023-09-20,"16:30","Alexis",NA,1,"2023"
14,27,"helophyte","Eriophorum angustifolium","EA117",9,4,3.5,30,NA,NA,2023-09-20,"16:30","Alexis",NA,1,"2023"
14,28,"helophyte","Eriophorum angustifolium","EA118",1,3,2,32,NA,NA,2023-09-20,"16:30","Alexis",NA,1,"2023"
14,28,"helophyte","Eriophorum angustifolium","EA123",6,3,2,34,NA,NA,2023-09-20,"16:30","Alexis",NA,1,"2023"
15,29,"helophyte","Carex nigra","CN127",1,4,3.5,25,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,29,"helophyte","Carex nigra","CN130",4,4.5,3.5,22,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,29,"helophyte","Carex nigra","CN132",6,3,2.5,21,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,29,"helophyte","Carex nigra","CN133",7,4.5,2.5,24,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,29,"helophyte","Carex nigra","CN135",9,3.5,4.5,21,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,30,"helophyte","Carex nigra","CN136",1,4,3,19,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,30,"helophyte","Carex nigra","CN138",3,3.5,2,24,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,30,"helophyte","Carex nigra","CN139",4,3.5,2,18,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,30,"helophyte","Carex nigra","CN140",5,3.5,1.5,28,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,30,"helophyte","Carex nigra","CN141",6,4,2,42,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,30,"helophyte","Carex nigra","CN143",8,3,2,23,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
15,30,"helophyte","Carex nigra","CN144",9,4,2.5,23,NA,NA,2023-09-20,"17:00","Alexis",NA,1,"2023"
16,31,"helophyte","Eriophorum angustifolium","EA128",2,3,2,34,NA,NA,2023-09-21,"9:30","Benjamin",NA,1,"2023"
16,31,"helophyte","Eriophorum angustifolium","EA129",3,2,1.5,31,NA,NA,2023-09-20,"17:30","Benjamin + Alexis",NA,1,"2023"
16,31,"helophyte","Eriophorum angustifolium","EA131",5,4,2.5,30,NA,NA,2023-09-20,"17:30","Benjamin + Alexis",NA,1,"2023"
16,31,"helophyte","Eriophorum angustifolium","EA132",6,2,1,40,NA,NA,2023-09-20,"17:30","Benjamin + Alexis",NA,1,"2023"
